,Unnamed: 0,P5,P10,P16,P25,P50,P75,P84,P90,P95
50,images/IMG_0252.JPG,7.756154484616069,9.99469202703269,13.0097053232075,18.7633522700968,59.1118552169606,197.062278220731,266.383339507388,314.8189955186849,355.8103649958091
52,images/IMG_0254.JPG,7.657795735167482,9.794231611722461,12.7440469635324,18.3953673631765,55.1988269755608,187.07802984134,261.542594048566,312.720453122193,354.87627579168
54,images/IMG_1576_250microns.JPG,9.12765515558495,12.087051389848499,15.3063789405506,20.3915918534001,42.3991399439525,116.170418161502,192.988201443181,276.958430936526,370.84727070594
56,images/IMG_1578_355microns.JPG,9.550342074896301,13.2253308244712,17.3846548617817,23.6846774620904,49.220284780325095,127.04050884571,200.283221255659,279.76270038757997,366.71506348265297
58,images/IMG_1580_355microns.JPG,9.70448025926093,13.4923818654901,17.6244470968128,23.8696041982397,50.1321340851828,131.523804787096,210.347277833634,287.962890722131,374.426854249467
60,images/IMG_1582_500microns.JPG,10.5642618094049,15.1848756688567,20.484880903595894,28.7756341192316,60.0372905275212,142.63226673118496,216.692460956473,290.91935906712104,374.972926158886
62,images/IMG_1584_710microns.JPG,11.8403561631267,17.6066127374235,24.6065701716853,34.7041205570954,70.8807236181882,151.731001498854,217.213360134627,283.11530302489,362.068345704197
64,images/IMG_1586_710microns.JPG,11.879517674932199,17.666383878588,24.554035271834607,34.8755712963274,71.3578482043914,161.745812708519,233.588201089062,306.0976139488,387.1251769442389
66,images/IMG_1588_1000microns.JPG,13.557703382677099,20.5122462572623,28.9852689154133,41.3122298441739,82.41056350471109,164.851844934183,224.671192733128,289.07834695106004,358.705033842435
68,images/IMG_1590_1400microns.JPG,16.2425882907259,25.3003340032672,36.5511674647617,53.7704126981262,103.465003444258,195.578710376191,254.334264843151,323.0566259073271,393.719381684879
70,images/IMG_1592_1400microns.JPG,16.0378570082881,25.177157669393395,35.9719640441846,53.232947821634,106.94822896839199,210.14854193464402,272.500671299707,329.331862006844,390.343274973806
72,images/IMG0311.JPG,21.1169953842357,30.749779165981106,41.1774487834608,55.4729090736816,103.88914321633,164.21966451125,189.79228960703895,209.013430380004,226.58986867721802
74,images/IMG0331.JPG,21.6748545673247,30.954765850446602,41.4583361916329,57.09873799783399,102.470187858273,162.695168298246,189.760921337416,209.43270516972999,226.925753817713
76,images/IMG0333.JPG,21.2627014725575,30.644877316362802,40.7231741148496,55.9389015672375,106.158333283502,169.931850130095,193.58086067524,211.63673610698,228.16628295528199
78,images/IMG0335.JPG,16.2583553607521,23.110277401145,30.652785649612497,42.6300695880027,80.4504581765643,139.72745129074102,168.354605819501,192.21308284031898,216.416680460257
80,images/IMG0341.JPG,23.485429972061702,33.9532456365237,45.0452903091059,59.96031293401871,101.89267022792299,156.27962172513202,179.442735893872,197.87519194597698,218.25740313138598
82,images/IMGP3459_80c.JPG,12.7288152773738,22.002261043297896,35.051529274839396,57.6059211266934,134.699612869524,248.536090765993,297.944756686782,334.978191283775,373.344277347955
84,images/P4040037.JPG,12.049108926270499,18.397160454333,26.504371876869893,40.1761176754216,101.27200658437,251.16513301716802,337.985683195665,438.841018709685,555.390317510463
