files,shape
images/Cal_05.tif,0
images/Cal_06.tif,0
images/Cal_08.tif,2
images/Cal_09.tif,2
images/Cal_10.tif,0
images/Cal_11.tif,0
images/Cal_12.tif,0
images/Cal_13.tif,0
images/Cal_15.tif,2
images/Cal_16.tif,3
images/Cal_17.tif,0
images/Cal_18.tif,0
images/Cal_19.tif,0
images/Cal_20.tif,3
images/Cal_23.tif,0
images/Cal_24.tif,3
images/Cal_27.tif,3
images/Cal_28.tif,0
images/Cal_29.tif,2
images/Cal_30.tif,2
images/CIMG0406_makro.JPG,2
images/close-up_PfeifferStateBeach.jpg,1
images/cs__(1).jpg,0
images/cs__(10).jpg,0
images/cs__(11).jpg,0
images/cs__(12).jpg,0
images/cs__(13).jpg,0
images/cs__(14).jpg,0
images/cs__(15).jpg,0
images/cs__(2).jpg,0
images/cs__(3).jpg,0
images/cs__(4).jpg,0
images/cs__(5).jpg,0
images/cs__(6).jpg,0
images/cs__(7).jpg,0
images/cs__(9).jpg,0
images/CurtainCreekmakro.jpg,0
images/DGS_Feather_DGS_Patch_001.JPG,0
images/im.png,0
images/Image_4766.JPG_crop.tif,1
images/Image_4767.JPG_crop.tif,1
images/IMG_0053_ccgp_006_ns_Cropped.tif,3
images/IMG_0053_ccgp_006_ns_Cropped.tif,3
images/IMG_0059_ccgp_009_ns_Cropped.tif,0
images/IMG_0059_ccgp_009_ns_Cropped.tif,0
images/IMG_0061_ccgp_010_ns_Cropped.tif,3
images/IMG_0114_ccgp_285_ws_Cropped.tif,1
images/IMG_0114_ccgp_285_ws_Cropped.tif,1
images/IMG_0202.JPG,2
images/IMG_0203.JPG,2
images/IMG_0204.JPG,2
images/IMG_0205.JPG,2
images/IMG_0207.JPG,2
images/IMG_0208.JPG,1
images/IMG_0209.JPG,2
images/IMG_0210.JPG,1
images/IMG_0212.JPG,1
images/IMG_0213.JPG,1
images/IMG_0214.JPG,1
images/IMG_0215.JPG,1
images/IMG_0217.JPG,1
images/IMG_0218.JPG,1
images/IMG_0219.JPG,1
images/IMG_0220.JPG,1
images/IMG_0222.JPG,1
images/IMG_0223.JPG,1
images/IMG_0224.JPG,1
images/IMG_0225.JPG,1
images/IMG_0228.JPG,1
images/IMG_0229.JPG,1
images/IMG_0230.JPG,1
images/IMG_0231.JPG,1
